Recipient Name,Award Amount
"I DESIGN AND PLANNING, LLC",1113037.9
"SUGPIAT DEFENSE, LLC",1006191.74
"DAWSON-HDR SERVICES JV, LLC",993194.7999999999
"VMD SYSTEMS INTEGRATORS, LLC",959000.0
"LAVASTIDA DEVELOPMENT GROUP, L.L.C",933768.88
DSTA LLC,928767.25
AGILENT TECHNOLOGIES INC,907421.12
SERCO INC,898742.73
"NOBIS ENGINEERING, INC",883877.61
CDM A JOINT VENTURE,867490.12
"GERLING & ASSOCIATES, INC.",849900.0
CONSOLIDATED SAFETY SERVICES INCORPORATED,831915.3200000001
"KONIAG IT SYSTEMS, LLC",825000.0
INDUSTRIAL ECONOMICS INC,819717.84
"INTEGRIWARD, LLC",819708.12
"PLATEAU SOFTWARE, INC.",808804.3
AVANTI CORPORATION,799129.9199999999
TRUST CONSULTING SERVICES INC.,791583.2000000001
INTEPROS FEDERAL INCORPORATED,775642.5700000001
"MPF FEDERAL, LLC",760139.85
"ALETO, INC.",758956.75
"VERACITY CONSULTING, INC.",739540.27
"THE NORTHBRIDGE GROUP, INC.",737135.0900000001
KENNEY BUSINESS SOLUTIONS INC,725116.0
"APTIM FEDERAL SERVICES, LLC",724721.46
WILSON 5 SERVICE CO INC,720966.0
TELEDYNE FLIR COMMERCIAL SYSTEMS INC.,720965.0
CORITY SOFTWARE INC.,713582.85
"COMPTECH COMPUTER TECHNOLOGIES, INC",687670.92
"AMENTUM TECHNOLOGY, INC.",657114.28
DYNAMIC WALLCOVERING LLC,633920.0
THERMO ELECTRON NORTH AMERICA LLC,629211.53
"DDC 4C, LLC",625002.0
"CHENEGA SERVICES & FEDERAL SOLUTIONS, LLC",616124.61
KYNETEC USA INC,610203.0
"CAPE FOX ENDEAVOR, LLC",602525.35
PROVEN MANAGEMENT LLC,600094.26
GOVERNMENT SCIENTIFIC SOURCE INC,598155.5599999999
SOUTHWEST RESEARCH INSTITUTE,593875.0900000001
C MARTIN CO INC,573390.03
DELL FEDERAL SYSTEMS L.P,570803.15
"FEDERAL PRISON INDUSTRIES, INC",569196.24
"BLUESTONE ENVIRONMENTAL GROUP, INC.",560753.26
"LEIDOS, INC.",560000.0
"BIOSPYDER TECHNOLOGIES, INC.",541533.39
CASO LOGZONE LLC,523173.18
"JOHNSON CONTROLS, INC",511520.0
"PB&A/CSS JV, LLC.",509607.0
"LEISNOI DIVERSIFIED-KEMRON 8A JV, LLC",487118.61
"OBSIDIAN GLOBAL, LLC",478562.39
"REDHAWK IT SOLUTIONS, LLC",450131.21
BOOZ ALLEN HAMILTON INC,446292.76
"HORSLEY WITTEN GROUP, INC.",445625.11
UVS INFOTECH LLC.,431851.58
THE REMI GROUP LLC,426318.7
HAZTRAIN INC,425576.0
"ARCHANGEL PROTECTIVE SERVICES, INC.",420000.0
"GOODWILL INDUSTRIES OF THE CHESAPEAKE, INC",414453.2
PARS ENVIRONMENTAL INC,404470.13999999996
"GOVERNMENT MARKETING AND PROCUREMENT, LLC",403594.84
EQ & CH REMEDIATION,399659.37
"TRUETANDEM, LLC",395275.20999999996
EISENSTEIN MALANCHUK LLP,389672.64
"S&K MISSION SUPPORT, LLC",374170.41
"TUKUH TECHNOLOGIES, LLC",372449.35000000003
"ABM FEDERAL SALES, INC.",371345.75
GUARDIAN ENVIRONMENTAL SERVICES CO INC,350000.0
MERP SYSTEMS INC,343686.4
EUROFINS EATON ANALYTICAL LLC,335000.0
"EUROFINS EATON ANALYTICAL, LLC",335000.0
"WECK ANALYTICAL ENVIRONMENTAL SERVICES, INC.",335000.0
NORTHERN LAKE SERVICE INC.,335000.0
"EASTEX ENVIRONMENTAL LABORATORY, INC",335000.0
"BABCOCK LABORATORIES, INC.",335000.0
REVIVE STRATEGIES LLC,334285.94
"EQM SERVICES, LLC",330823.65
"AIRGAS USA, LLC",327800.0
CLEARPATH CONSULTANTS JV,327446.03
OCH JV,325762.35
THOMAS & REED LLC,325008.8
"JEOL USA, INC.",322375.87
ACCESS INTERPRETING INC,316466.64
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,315080.87
WITS SOLUTIONS INC.,299669.76
NEXTECH LINTECH LLC,297521.86
RESEARCH TRIANGLE INSTITUTE,293549.14999999997
"TTW SOLUTIONS, INC.",291000.0
"HARPY TECHNOLOGIES, LLC",289452.0
CHEROKEE NATION SYSTEM SOLUTIONS LLC,288928.38
STEELCASE INC.,288509.32
"EAP CONSULTANTS, LLC",288020.0
"EUROFINS DISCOVERY SERVICES NORTH AMERICA, LLC",287350.08
"GARUD TECHNOLOGY SERVICES, INC.",287000.0
"J. F. BRENNAN COMPANY, INC.",284400.0
"MG FACILITY SERVICES, LLC",264664.03
WATERS TECHNOLOGIES CORPORATION,257480.43
STRATEGIX MANAGEMENT LLC,249927.0
AVL TEST SYSTEMS INC,249677.0
WASTE CONTROL SPECIALISTS LLC,247128.32
ACT SERVICES CORP,241650.0
VERSAR-WSP JV,238699.56
ARBILL INDUSTRIES INC,237844.28
"PROCESS APPLICATIONS, INC.",229747.0
BUCHAN EDNA,229015.0
UNISON VIRTUAL ACQUISITION OFFICE LLC,226008.9
"RELIANCE RELOCATION SERVICES, INC",217781.02
MUSE TECHNOLOGIES INC,217241.22
"TEHAMA ENVIRONMENTAL CONSULTING SERVICES, LLC",209678.82
PN AUTOMATION INC,208742.4
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",206435.23
"SAVAN GROUP, LLC",201263.8
CAPITAL RELOCATION SERVICES L.L.C.,199128.0
"NOBIS ENTERPRISES, INC.",192355.47
TRC ENVIRONMENTAL CORP,189950.0
"WINGSWEPT, LLC",185936.93
JWMG MANAGEMENT GROUP LLC,185113.22
SAFEWARE INC,183591.91999999998
AMERICAN CHEMICAL SOCIETY,178612.5
DASH TECHNOLOGIES INC,178416.77
"DEFENSE CONTRACTING ACTIVITY, LLC",177499.92
FIRELAKE-DIVERSIFIED JV2 LLC,176678.67
MEC DISTRIBUTION LLC,169339.91
JEWISH CHILD AND FAMILY SERVICES,164947.46
JOHNSON CONTROLS FIRE PROTECTION LP,163658.69
LILIUM-SERES JV,157420.14
FOUR LLC,155471.61
STERLING COMPUTERS CORPORATION,154488.12
TELOS CORPORATION,150072.0
"ALEUT SERVICES, LLC",149760.03999999998
I.W. TREMONT CO. INC.,149585.8
"FULL CIRCLE GROUP, INC.",148835.42
"CAPITOL ADVISORS ON TECHNOLOGY, LLC",144578.09
CLINTON VAULS TECHNOLOGY GROUP LLC,144029.83
"GEXA ENERGY, LP",140000.0
SOVEREIGN CONSULTING INC,139926.04
UNITED PARCEL SERVICE CO.,131405.34
"HUMAN CAPITAL RESOURCES AND CONCEPTS, INC",130359.16
ENVIRONMENTAL MANAGEMENT SERVICES INC,128609.2
NUKA RESEARCH & PLANNING GROUP LLC,128008.16
CASCADE NATURAL GAS CORP,126640.0
"EBL ENGINEERS, LLC",125891.0
CONDOR SECURITY OF AMERICA INC,125494.7
THE NET.AMERICA CORPORATION,125028.0
NORTH CAROLINA STATE UNIVERSITY,122723.0
"NOBLE SUPPLY & LOGISTICS, LLC",119948.07
"XTEC, INCORPORATED",117945.36
FLUKE ELECTRONICS CORP,116710.56
RWD CONSULTING LLC,114030.0
SEAL ANALYTICAL INC.,112914.0
IT DEVICES ONLINE INC,110274.23
"T-MOBILE USA, INC.",108500.0
"NEXUS GROUP, LLC",106140.0
SFS CHEMICAL SAFETY INC,104987.65
"MET ONE INSTRUMENTS, INC.",103297.16
"GARTEN SERVICES, INC.",100216.08
KGSNE JV II LLC,99568.0
CLEAN HARBORS ENVIRONMENTAL SERVICES INC,98327.24
"GOVSMART, INC.",97488.47
"ILLUMINA, INC.",95592.19
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED",92761.5
FEDTEC LLC,92040.0
"KEYLOGIC ASSOCIATES, INC.",90000.0
BAHFED CORP,87083.29
"LYNX PRODUCT GROUP, LLC",86472.0
"PANAMERICA COMPUTERS, INC.",86316.0
ECOSYSTEM PLANNING & RESTORATION LLC,83486.61
THE TRAINING CONNECTION INC,81300.0
"ENTECH INSTRUMENTS, INC.",80144.3
VEOLIA ES TECHNICAL SOLUTIONS LLC,80000.0
"TESTAMERICA LABORATORIES, INC",79565.0
BUCHI CORP,78473.88
AB SCIEX LLC,76827.96
BETTER BY DESIGN LLC,72919.75
"T&M SERVICE GROUP, LLC",71251.1
CHINOOK SYSTEMS INC,70483.48999999999
C & C ENVIRONMENTAL INC,70000.0
AHTNA INFRASTRUCTURE & TECHNOLOGIES LLC,69507.2
VISTA OUTDOOR SALES LLC,67679.6
"PRINCE CONSULTING, LLC",67500.0
"LEADERSHIP CONNECT, INC.",67500.0
CW JANITORIAL SERVICE LLC,65898.88
GAMMA PRODUCTS INC,65707.0
"SCIENTIFIC SALES, INC.",65406.060000000005
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,65002.21000000001
"RURAL AND TRIBAL ENVIRONMENTAL SOLUTIONS, INC",65000.0
"TAYLOR DISTRIBUTION GROUP, LLC",63646.75
LYNKER CORPORATION,63038.7
ATT MOBILITY LLC,63000.0
UPPER MISSISSIPPI RIVER BASIN ASSOCIATION,62833.5
"NEPTUNE AND COMPANY, INCORPORATED",62670.149999999994
ARROW MOVING & STORAGE OF COLORADO INC,62628.0
CHARTIS CONSULTING CORPORATION,62190.0
"WILLIAMS, ADLEY & COMPANY DC LLP",62128.05
"MATHESON TRI-GAS, INC.",61035.91
ANALYTIK JENA US LLC,59839.0
POLYGON US CORPORATION,59773.56
GREAT LAKES COMMISSION,58917.5
EARTHSOFT INC,58715.31
"CLINISYS, INC.",57032.47
"CROSSLEY STAFFING, LLC",56011.44
PARAGON MICRO INC,55224.78
"SMARTPROCURE FEDMINE, LLC",55132.83
AGP LLC,54618.24
"DH TECHNOLOGIES, INC.",53658.92
EMD STRATEGIES LLC,53024.8
W.L.W LLC,52500.0
"POLAR KING INTERNATIONAL, INC.",52448.83
ADVANCED CHEMISTRY DEVELOPMENT INC,51000.0
SCIENTIFIC CONSULTING GROUP INC,50000.0
THE LEONARD RESOURCE GROUP INC,50000.0
"AGS SCIENTIFIC, INC.",49320.0
"THE MATHWORKS, INC.",48913.5
WATER ISAC,48749.0
"KLINE & COMPANY, INC.",48600.0
FEDERAL EXPRESS CORPORATION,47707.2
GALLAGHER & ASSOCIATES INC,47662.5
"INTECCON, INC.",47033.75
"ADVANCED COMPUTER CONCEPTS, INC.",46940.3
"SPECTRO ANALYTICAL INSTRUMENTS, INC.",44542.0
CHEMAXON LLC,44447.0
COLOSSAL CONTRACTING LLC,43000.16
STRATEGIC INNOVATIVE SOLUTIONS LLC,41197.86
PROENGIN INC.,40042.37
"RIGAKU AMERICAS HOLDING, INC.",39187.0
"RADIATION SAFETY & CONTROL SERVICES, INC.",38240.0
ATTAINX INC.,38168.8
PEAK SCIENTIFIC INC,37885.5
GEISSELE AUTOMATICS LLC,37518.84
MICRO PHOTONICS INC,36900.0
ELSEVIER INC.,35757.37
STANDARD BIOTOOLS INC,35678.0
"OHIO LUMEX CO., INC",35430.0
"CENSEO CONSULTING GROUP, INC.",34000.0
LIFE TECHNOLOGIES CORPORATION,33032.4
AMERICAN ASSOCIATION FOR LABORATORY ACCREDITATION,32890.0
"PUBLIC HEALTH & SAFETY, INC.",32618.0
BURHANI ENTERPRISES INC,32598.63
KAY KAY LLC,32344.8
"BROOKS RAND, INC.",30912.0
TRIBUS ENERGIES LLC,30792.12
"LABWORKS, LLC",30492.0
"SYFT TECHNOLOGIES, INC.",30440.0
"PREMIER & COMPANIES, INC.",30377.65
CHAINBRIDGE SOLUTIONS INCORPORATED,30000.0
MAYOINTHEMIX LLC,29724.24
"PICARRO, INC",29478.0
HAMILTON COMPANY,29003.0
"DAWSON MCG, LLC",28760.9
"FEDERAL RESOURCES SUPPLY COMPANY, LLC",28580.0
DENTON VACUUM L.L.C.,28389.64
FISHER SCIENTIFIC COMPANY L.L.C.,28312.52
AMETEK ARIZONA INSTRUMENT LLC,27588.45
MOTIONPOINT CORPORATION,27563.0
LH COMPUTER SERVICES,27400.0
ROCKY MOUNTAIN FLAG COMPANY LLC,27300.0
LAURUS SYSTEMS INC,26229.56
"ARCWOOD ENVIRONMENTAL, LLC",26168.85
"GOLD SYSTEMS, INC.",25685.46
"GOLD STANDARD DIAGNOSTICS HORSHAM, LLC",25508.120000000003
GOVCONNECTION INC,25354.98
AYUDA MC2 JV LLC,25287.36
"BRINKMANN INSTRUMENTS, INC.",25270.0
"INDUSTRIAL HYGIENE RESOURCES, LTD.",25263.57
AYUDA CAPE JV LLC,25000.0
AMAZON.COM SERVICES LLC,25000.0
"AMERS SERVICES, LLC",25000.0
"SAMYAK SOLUTIONS, INC.",24610.76
"REALEN GATEWAY DEVELOPMENT ASSOCIATES, L.P.",24300.0
MILLBROOK SUPPORT SERVICES INC,24000.0
"MIRION TECHNOLOGIES (CANBERRA), INC.",23384.0
GOVERNMENT ACQUISITIONS INC,23358.25
QUICKSERIES PUBLISHING INC,22276.0
"ATLANTIC DIVING SUPPLY, INC.",22275.0
"MG SCIENTIFIC, INC.",22271.0
LBO TECHNOLOGY LLC,22068.73
"NATEC INTERNATIONAL, INC",21571.92
AAA WHOLESALE CO. INC.,21203.8
CADMUS CONCOURSE JV LLC,20000.0
WILBUR TECHNICAL SERVICES LLC,19482.23
WEST PUBLISHING CORPORATION,19283.53
"CARL ZEISS MICROSCOPY, LLC",18786.6
"ELEMENTAR AMERICAS, INC.",18742.3
"THE TEAM APPROACH, INC.",18333.0
"MIDDLESEX GASES & TECHNOLOGIES, INC",18327.24
OREGON STATE UNIVERSITY,18100.0
TELEDYNE INSTRUMENTS INC,18036.0
R.S. MEANS COMPANY LLC,18000.0
"QUENCH USA, INC.",17478.0
"POLITICO, LLC",17400.0
"ECKERT & ZIEGLER ANALYTICS, INC",17251.5
UNIVERSITY OF GEORGIA,16800.0
NETA SCIENTIFIC INC,16346.96
SLAM TECHNICAL SERVICES LLC,16065.3
HARTEL'S DISPOSAL LLC,15510.0
ORGANOMATION MANUFACTURING INC,15305.0
ADISS INC,15000.0
"BECTON, DICKINSON AND COMPANY",15000.0
"BIOTAGE, LLC",14820.51
LHASA LIMITED,14651.0
ELPRO SERVICES INC,14347.3
ZIKR LLC,14333.88
NUAIRE INC,14320.64
DIGITAL SCIENCE & RESEARCH SOLUTIONS INC,14065.0
MOLECULAR DEVICES LLC,14016.6
PERRY JOHNSON LABORATORY ACCREDITATION INC,13925.0
CALLYO 2009 CORP,13892.64
WILLIAMS DISTRIBUTION LLC,13149.99
"OXFORD INSTRUMENTS AMERICA, INC.",12936.0
ZASIO ENTERPRISES INC,12185.0
"W.W. GRAINGER, INC.",12083.11
"DONNEGAN SYSTEMS, INC.",12055.0
THE C3 GROUP INC,11875.0
"SOFTTHINK SOLUTIONS, INC.",11742.0
GAGE PRODUCTS COMPANY,11710.92
SOUTHWEST SOLUTIONS GROUP INC,11505.0
DELOITTE FINANCIAL ADVISORY SERVICES LLP,11298.920000000006
TSI INCORPORATED,11125.0
ROBERTS OXYGEN CO INC,11084.96
IDEXX LABORATORIES INC,10839.88
COMCAST GOVERNMENT SERVICES LLC,10692.6
"OCLC, INC",10119.18
VWR INTERNATIONAL LLC,10025.83
"LRP PUBLICATIONS, INC.",10008.0
THE MASLOW MEDIA GROUP INC,9857.660000000002
PITNEY BOWES INC.,9784.2
BIO DETECTION SYSTEMS B.V.,9554.0
XEROX CORPORATION,9117.810000000001
WASHINGTON EXPRESS LLC,9000.0
MONO MACHINES LLC,8847.77
GLOBAFONE INC,8402.8
"SAFETY-KLEEN SYSTEMS, INC.",8240.0
"QUADIENT, INC.",7133.01
JAXON CONSTRUCTION INC,6400.0
CORPORATE WASTE SOLUTIONS LLC,5817.48
"GETTY IMAGES (US), INC.",5570.0
"TEAMGOV, INC.",5412.0
LIFEASIBLE INC,5031.0
"KISTERS NORTH AMERICA, INC.",4881.0
"BIODYN LIFESCIENCES, INC.",4430.0
SIEMENS INDUSTRY INC,4413.379999999997
"COAST TO COAST CALIBRATIONS, INC.",4232.8
LUDLUM MEASUREMENTS INC,3688.0
"VISIX, INCORPORATED",3231.0
"ATLAS TOYOTA MATERIAL HANDLING, LLC",2677.78
"CAROLINA ACADEMIC PRESS, L.L.C.",2261.0
"MSA SAFETY SALES, LLC",2147.0
"TRUESHRED, INC.",2019.15
"NMH TECH, INC.",2013.37
"SB & COMPANY, LLC",2000.0
STERICYCLE INC,1965.0
"IDEXX DISTRIBUTION, INC",1476.5
ADVENTURES BY DAWN L.L.C,1316.0
"THE LAPEL PINS PLUS NETWORK, LLC",571.0
ROYAL PAPER STOCK CO INC,100.0
IRON MOUNTAIN INFORMATION MANAGEMENT LLC,35.49
LIFESAFE SERVICES LLC,0.0
D & D PRODUCTS INCORPORATED,0.0
LIONA ENTERPRISES INC,0.0
RED ROCK REMEDIATION JV,0.0
"RAMBOLL AMERICAS ENGINEERING SOLUTIONS, INC.",0.0
"REI SYSTEMS, INC.",0.0
DIPOLE MATERIALS INC,0.0
"QUADRIGAE GLOBAL ENTERPRISES, INC.",0.0
"KALMAN & COMPANY, INC.",0.0
"KAMILO, INC.",0.0
JYG INNOVATIONS LLC,0.0
NRG BUSINESS MARKETING LLC,0.0
KLAW INDUSTRIES LLC,0.0
"LEISNOI DIVERSIFIED SERVICES, LLC",0.0
JAGAI JYOTSNA S,0.0
COMPREHENSIVE ENVIRONMENTAL INC,0.0
LEXOGEN INC,0.0
MILLERKNOLL INC,0.0
LPS KEMRON JV LLC,0.0
"ZABBLE, INC.",0.0
MICHIGAN STATE UNIVERSITY,0.0
"MIDWEST ASSISTANCE PROGRAM, INC.",0.0
MESSER LYNNE,0.0
UNIVERSITY OF SOUTH CAROLINA,0.0
"VALIS INSIGHTS, INC.",0.0
AMERITEL COMMUNICATIONS CORPORATION,0.0
AMERICALL INTERNATIONAL INC,0.0
"CORNERSTONE COMMISSIONING, LLC",0.0
AMERICAN SOCIETY FOR TESTING AND MATERIALS,0.0
VALLEY MERCHANT POLICE INC.,0.0
WATER ILLUMINATION INC,0.0
ADVANCED MEASUREMENT TECHNOLOGY INC,0.0
"WILLIAMS DIVERSIFIED MATERIALS, INC.",0.0
VERINA CONSULTING GROUP LLC,0.0
"AEEC, LLC",0.0
ALLIANCE TECHNICAL GROUP LLC,0.0
AHTNA ENVIRONMENTAL INC,0.0
ALAMEDA COUNTY SHERIFF'S OFFICE,0.0
"WALGA MTE, LLC",0.0
TRIANGLE ENVIRONMENTAL HEALTH INITIATIVE LLC,0.0
BEAR-VATICA JOINT VENTURE LLC,0.0
VISIMO LLC,0.0
"FOREVER ANALYTICAL SERVICES, INC.",0.0
"BOWHEAD ENTERPRISE, SCIENCE AND TECHNOLOGY, LLC",0.0
"CAPITAL REPORTING COMPANY, LLC",0.0
"BURDETTE, KOEHLER, MURPHY AND ASSOCIATES, INC.",0.0
FLAGSHIP CONTRACTING INC,0.0
EVOTEC US INC,0.0
"AHTNA-BRENNAN JV, LLC",0.0
STERIS CORPORATION,0.0
ECO ANALYSTS INC,0.0
FORESIGHT SCIENCE & TECHNOLOGY INC,0.0
"ENVIRONMENTAL DATA SERVICES, LIMITED",0.0
"EPR, P.C.",0.0
C TECH DEVELOPMENT CORPORATION,0.0
"SUSTAINABLE MODULAR MANAGEMENT, INC",0.0
"TAHER, INC.",0.0
"GREEN OFFICE FURNITURE SOLUTIONS, LLC",0.0
"SMITHGROUP, INC.",0.0
"SANFORD FEDERAL, INC.",0.0
"ROI FIRE & BALLISTICS EQUIPMENT, INC",0.0
"RW LONE STAR SECURITY, LLC",0.0
SAFEGUARD DOCUMENT DESTRUCTION INC,0.0
SANITARY GREEN INCORPORATED,0.0
RIVA SOLUTIONS INC,0.0
RELX INC,0.0
"RICHARD MCELHINEY ARCHITECT, PLLC",0.0
FOURTH STATE LLC,0.0
HOLOCHIP CORP,0.0
HANA ENGINEERS & CONSULTANTS LLC,0.0
"CARPET RESOURCES, INC.",0.0
"GROT, INC.",0.0
MODULAR MANAGEMENT GROUP INC,0.0
"CQ-ROLL CALL, INC",0.0
CRUTCHO CREEK FARMS LLC,0.0
"DAWSON SOLUTIONS, LLC",0.0
SONATA SCIENTIFIC LLC,0.0
GOVERNORS OFFICE,0.0
"SILOSMASHERS, INC.",0.0
"SEVENSON ENVIRONMENTAL SERVICES, INC.",0.0
CEM CORPORATION,0.0
"CASTRO & COMPANY, LLC",0.0
CENSYS TECHNOLOGIES CORPORATION,0.0
GREENLIFETECH CORP,0.0
GSI NORTH AMERICA INC,0.0
RIVIDIUM INC.,0.0
MALVERN PANALYTICAL INC,-0.03
"NUCLEAR SOURCES AND SERVICES, INC.",-0.06
BECKMAN COULTER INC,-0.6
"SCHUMACHER, CODY R.",-0.83
"MABBETT & ASSOCIATES, INC.",-3.66
"PROACTIVE ENVIRONMENTAL PRODUCTS, LLC",-9.9
CASE WESTERN RESERVE UNIVERSITY,-20.04
CAYMAN CHEMICAL CO INC,-36.0
PINE ENVIRONMENTAL SERVICES LLC,-50.0
YSI INC,-50.0
"LI-COR, INC.",-50.0
AIRGAS USA LLC,-98.13
NATIONAL ACADEMY OF SCIENCES,-99.56
"LEIDOS MANAGEMENT SYSTEMS DESIGNERS, INC.",-116.61
HAWORTH INC,-226.89
"TELEDYNE INSTRUMENTS, INC.",-232.2
S&P GLOBAL MARKET INTELLIGENCE LLC,-419.33
"SPACEWAVE, INC.",-428.65
LJUBENKOV JULIE SCHNEIDER,-509.22
SCIENTIFIC REPAIR INC,-528.2
MYRON GREEN CORPORATION,-929.91
GLOBAL KNOWLEDGE SOLUTIONS LLC,-965.0
"BARNSTABLE, COUNTY OF",-1106.01
WATERS CORPORATION,-1260.0
DICKSON/UNIGAGE INC,-1260.57
ARLLUK TECHNOLOGY SOLUTIONS LLC,-1388.01
"JONES PUBLIC RELATIONS, INC.",-1406.02
SUMMITEC CORP,-2582.5
"ASRC FEDERAL DATA NETWORK TECHNOLOGIES, LLC",-3739.54
"INSIGHT PUBLIC SECTOR, INC.",-4331.85
TRADE CENTER MANAGEMENT ASSOCIATES L.L.C.,-4620.0
"BLUE CANOPY GROUP, LLC",-5000.0
"ABACO-BLACKFISH JV, LLC",-5492.22
AMERICAN NATIONAL STANDARDS INSTITUTE INCORPORATED,-7874.0
"NATIONAL CAPITOL CONTRACTING, LLC",-8975.49
DECISIONPOINT CORPORATION,-11275.33
KRA-CRJ JV INC,-12762.37
WHEELHOUSE GROUP LLC,-15001.24
AKTARIUS LLC,-16327.82
"INTERTEK TESTING SERVICES NA, INC.",-18305.899999999998
"FULL SPECTRUM GROUP, LLC",-19072.32
DATAWIZ CORPORATION,-19450.36
"K & S ASSOCIATES, INC.",-19991.16
"INTEGRATED LABORATORY SYSTEMS, LLC",-22067.0
"F & J SPECIALTY PRODUCTS, INC.",-26375.65
"PEMY CONSULTING, LLC",-29823.72
"CROP DATA MANAGEMENT SYSTEMS, INC.",-31500.0
ENDYNA-INTSCI LLC,-33766.29
SRI GLOBAL INC,-34279.0
GENERAL AIR SERVICE & SUPPLY CO.,-34847.55
ERNST & YOUNG LLP,-38843.3
DIVERSIFIED PROTECTION CORP,-39000.18
"SOLUTION ONE INDUSTRIES, INC.",-46650.76
ONE DIVERSIFIED LLC,-56338.0
SENSORS INC,-60576.88
"WESTAT, INC.",-79718.53
"ROSS & ASSOCIATES ENVIRONMENTAL CONSULTING, LTD.",-95354.22
ATTAINX INC,-109058.76000000001
DCR SERVICES & CONSTRUCTION INC,-117557.0
SERVICESOURCE INC,-147940.02000000002
"VERSAR, INC.",-154313.0
"SCI CONSULTING SERVICES, INC.",-155066.67
GREENGATE LLC,-217278.28
NORTON ROSE FULBRIGHT US LLP,-259642.0
SUMMIT CONSULTING LLC,-261946.22
"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP",-272165.15
DPRA INCORPORATED,-278061.93
"LOCKHEED MARTIN SERVICES, LLC",-306294.0
THE LIOCE GROUP INC,-352603.46
S C & A INC,-583034.95
CELLCO PARTNERSHIP,-644650.41
HAWKINS DELAFIELD & WOOD LLP,-720635.0
SHEARMAN & STERLING LLP,-1071862.08
"TOEROEK ASSOCIATES, INC.",-1561235.32
UNISON SOFTWARE INC,-1655279.54
"PACIFIC WESTERN TECHNOLOGIES, LTD.",-2618007.12
VERSAR-ENVIROCON JV,-7940254.89
