Recipient Name,Award Amount
REDMATTER SOLUTIONS LLC,2205011.03
MOSARK LLC,2189272.29
ATTAINX INC.,2161291.05
CORPORATE ALLOCATION SERVICES INC,2137487.96
"EVERGY MISSOURI WEST, INC.",2100000.0
GENERAL ATOMICS,2065658.6
G & RK CONSULTING ASSOCIATES LLC,2001400.51
AUTONOMIC INTEGRA LLC,1994841.05
"WYANT DATA SYSTEMS, INC.",1994786.34
"CATAWBA-TEA, LLC",1898557.0
"AT&T ENTERPRISES, LLC",1896336.81
"GOLDBELT OPERATIONS SUPPORT SERVICES, LLC",1848513.0
M&K IMPORTS LLC,1831487.14
S & K LOGISTICS SERVICES LLC,1824709.1099999999
"DNI EMERGING TECHNOLOGIES, LLC",1800983.98
"CENTERRA GROUP, LLC",1737943.11
"HARKCON, INC.",1708772.56
"CHICKASAW AEROSPACE, LLC",1659257.31
SIGMA SCIENCE INC,1652038.5
OPEN ACCESS TECHNOLOGY INTERNATIONAL INC,1642801.54
"CHENEGA ARCHITECTURE AND DESIGN SOLUTIONS, LLC",1638933.49
"AUGUST SCHELL ENTERPRISES, INC.",1633534.07
STRATIVIA LLC,1596970.98
"NEW TECH SOLUTIONS, INC.",1586226.95
BUSINESS MANAGEMENT ASSOCIATES INC.,1584064.23
"AMERICAN CENTRIFUGE OPERATING, LLC",1556984.49
"GOVSMART, INC.",1541737.99
OHIO VALLEY ELECTRIC CORPORATION,1540000.0
HUGHES BROTHERS INC,1498964.1099999999
"DH TECHNOLOGIES, INC.",1498697.77
"INNOVATIVE CLAIM SOLUTIONS, INC",1482880.85
"CROWN INNOVATIONS, INC.",1478543.15
"ADVANCED COMPUTER CONCEPTS, INC.",1469307.47
VALI COOPER INTERNATIONAL LLC,1463318.6
"ACCENT COMPLIANCE, LLC",1453768.0
CHAINBRIDGE SOLUTIONS INCORPORATED,1399396.8
"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",1389119.6199999999
"LBYD FEDERAL, LLC",1375554.77
UNISON SOFTWARE INC,1369710.88
MCLANE ADVANCED TECHNOLOGIES LLC,1336807.62
VISION QUEST SOLUTIONS INC,1320576.0
"EXETER ASSOCIATES, INC.",1308105.0
"KEARNEY & COMPANY, P.C.",1295200.0
BW RESEARCH PARTNERSHIP INC,1290032.0
COLOSSAL CONTRACTING LLC,1281010.12
"RACK-WILDNER & REESE, INC.",1241299.45
"NEPTUNE AND COMPANY, INCORPORATED",1230197.0
INDUSTRIAL ECONOMICS INC,1200000.0
CHENEGA PROFESSIONAL & TECHNICAL SERVICES LLC,1139919.38
"ACATO INFORMATION MANAGEMENT, LLC",1117785.78
"COMPLETE CONCRETE, INC.",1064447.0
ACQUISITION RESEARCH & LOGISTICS INC,1061797.9200000002
PACE ENTERPRISES OF WEST VIRGINIA INC,1031017.0
HANFORD LABORATORY MANAGEMENT AND INTEGRATION LLC,1020720.3
THE DAVEY TREE EXPERT COMPANY,1010396.28
INNOVATIVE TECHNOLOGY PARTNERSHIPS LLC,1009942.21
L & R COMM & CONSTRUCTION INC,1006522.5700000001
DYNAMIC SYSTEMS INC,989388.25
AKIMA FACILITIES OPERATIONS LLC,984278.24
"GEM TECHNOLOGIES, INC.",981411.68
"CTI AND ASSOCIATES, INC.",958649.79
DIGITAL STRATEGY LLC,957698.0
"PROFESSIONAL PROJECT SERVICES, INC.",950000.0
CCS IVORY CLOUD JV LLC,947020.02
"DEPENDABLE GLOBAL SOLUTIONS, LLC",945295.22
TUKNIK GOVERNMENT SERVICES LLC,941437.6
"ALTEC INDUSTRIES, INC.",933319.99
CONLIFF SOLUTIONS LLC,924203.06
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",919455.69
SITE WORK SOLUTIONS,889600.63
NAC INTERNATIONAL INC.,860777.0
FOUR RIVERS NUCLEAR PARTNERSHIP LLC,850000.0
"CHICKASAW BUSINESS SOLUTIONS, LLC",846886.88
WEST PUBLISHING CORPORATION,804798.0
S & K FEDERAL SERVICES LLC,791490.17
MANAGEMENT SOLUTIONS LLC,769907.63
ASSYST INC.,769291.8
OLD HARBOR SOLUTIONS LLC,766025.88
GRANT THORNTON LLP,761553.1499999999
EVERFOX LLC,750000.0
"UNITECH SERVICES GROUP, INC.",745000.0
MALACHITE TECHNOLOGIES INC,745000.0
"AMERICAN MATERIAL HANDLING, INC.",738272.0
"FOUR POINTS TECHNOLOGY, L.L.C.",731038.0
"MOCA SYSTEMS, INC",727154.14
MCG ENERGY SOLUTIONS LLC,710848.31
AOC PETROLEUM SUPPORT SERVICES LLC,708826.82
"CHICKASAW SERVICE SOLUTIONS, LLC",700000.0
SIKICH CPA LLC,693800.0
VERIZON BUSINESS NETWORK SERVICES LLC,692621.56
LONGENECKER & ASSOCIATES INC,682609.79
"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",678955.8
BLUEPATH LABS LLC,677413.37
JGMS GOVERNMENT SERVICES LLC,672267.58
"KATMAI INTEGRATED SOLUTIONS, LLC",672124.7
ANSYS INC,667717.33
"AFFIGENT, LLC",665397.53
MUTUAL TELECOM SERVICES INC.,647517.13
MASPEC LLC,638556.78
"PROFESSIONAL VETS CONSULTING GROUP, LLC",627897.41
COUNTY OF BENTON COMMISSIONER'S OFFICE,627516.73
FPM-AECOM JV1,615122.92
EXPONENT INC,603750.0
ENERGY BY NATIVE AMERICAN DESIGN CORP,598374.85
GUIDEHOUSE INC.,592959.51
"STANDARD-BLAZAR, LLC",581729.63
CHEROKEE NATION DEFENSE SOLUTIONS LLC,580299.6
"THE GORDIAN GROUP, INC.",577201.0
INDEPENDENT STRATEGIC MANAGEMENT SOLUTIONS INC,568061.72
S C & A INC,553698.0
"PRIVORO GOVERNMENT SOLUTIONS, LLC",548226.4
WORLD WIDE TECHNOLOGY LLC,533912.39
DOBLE ENGINEERING COMPANY,531135.76
"ADVANCED MANAGEMENT STRATEGIES GROUP, INC.",525515.1499999999
BAHFED CORP,506991.27
"WILDFLOWER INTERNATIONAL, LTD.",503886.43999999994
"APOGEE GROUP, LLC",500000.0
WINSTON-SALEM INDUSTRIES FOR THE BLIND INC,500000.0
INTERNATIONAL BUSINESS MACHINES CORPORATION,490579.12
ECCO SELECT CORPORATION,486879.75
INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,480273.76
"ABM FACILITY SUPPORT SERVICES, LLC",473636.35
"COUNTERTRADE PRODUCTS, INC.",469707.85
HITACHI ENERGY USA INC.,469535.87
"ONLOCATION, INC",453372.38
"GIANT OAK, INC.",453238.87
POPLICUS INC,450000.0
"AMERICAN WORDATA, INC",441941.75
MONTECH INC,439991.0
BLUE TECH INC.,428409.44
"Z, INC.",425900.06
AJCE CORPORATION,423746.0
"HBW PROPERTIES, INC.",422795.4
"GOVPLACE, LLC",415342.87
PM CONNECTIONS LLC,405000.0
"QUADIENT, INC.",402139.57
"EDWARD HOLMES, INC.",402000.0
"CODE PLUS, INC.",401642.81
ARGUS MEDIA INC,400627.0
SUNOCO PARTNERS MARKETING & TERMINALS L.P.,400000.0
FREDRICK OAK CONSULTING LLC,397189.53
"PURDUE APPLIED RESEARCH INSTITUTE, LLC",388000.0
PERATON INC.,384995.36
"ALEUT TECHNICAL SERVICES, LLC",382095.09
CATERPILLAR INC,378253.0
"K10 VISION, INC.",375193.0
MACSENSE LLC,373500.83999999997
IMPYRIAN LLC,373173.38
DOXCELERATE CORPORATION,372798.0
"BENALYTICS CONSULTING GROUP, LLC",369996.09
"HRWORX, LLC",368354.4
THERMO ELECTRON NORTH AMERICA LLC,359042.83
"ENERGY INTELLIGENCE GROUP, INC",354153.0
SOFTWARE INFORMATION RESOURCE CORP.,348607.28
"VEGETATION MANAGEMENT WEST, L.P.",335069.43
YOLO EMPLOYMENT SERVICES,334169.70999999996
"GARTNER, INC.",331953.0
B & H INTERNATIONAL LLC,331530.96
"CHICKASAW STRATEGIC POINTE, LLC",330762.0
"LOUISIANA ENERGY SERVICES, LLC",328411.87
ZVOLVANT SOLUTIONS LLC,328125.48
LOGISTICS APPLICATIONS INC.,316000.0
SOUTHWESTERN PUBLIC SERVICE COMPANY,312100.22
TELECOMMUNICATION UTILITY PROCUREMENT SERVICES LLC,305769.0
GOLDEN TECH SYSTEMS INC,300000.0
"BARNARD CONSTRUCTION COMPANY, INCORPORATED",299494.11
"MOODY'S ANALYTICS, INC.",293000.0
MICROHEALTH LLC,292346.0
CHENEGA HEALTHCARE SERVICES LLC,287785.03
S&P GLOBAL LIMITED,284395.35
"SERVITECH, INC.",278920.74
PENNRAM DIVERSIFIED MANUFACTURING CORP,274460.0
REGENCY CONSULTING INC,274021.51
SES CONSTRUCTORS LLC,268961.69
FOUR LLC,266018.25
REFINITIV US LLC,264798.0
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",262000.0
"PERFORMANCE EDGE, LLC",261645.91
WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,260433.33
RED CARROT INC,253196.45
HYPERION TECHNOLOGIES LLC,250000.0
RAS ENTERPRISES LLC,250000.0
WASHINGTON RIVER PROTECTION SOLUTIONS LLC,250000.0
CANDOR SOLUTIONS LLC,250000.0
ARTICUS SOLUTIONS LLC,243638.04
"WINGSWEPT, LLC",242936.86
CHENEGA RELIABLE SERVICES LLC,242530.1
"INALAB CONSULTING, INC.",238500.8
MAS CONSULTANTS & POINT SIX INC.,237843.52
"OPTIVOR TECHNOLOGIES, LLC",236901.1
"IRON HORSE SECURITY, LLC",234226.08
CAMEO CONSULTING GROUP LLC,232219.97
METGREEN SOLUTIONS INC,231943.4
"KIJERO, LLC",229537.51
"EVOKE RESEARCH AND CONSULTING, LLC",228155.9
R.L. POLK & CO,227269.06
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",220028.45
"EMERGENT, LLC",219847.25
NEXIGHT GROUP LLC,218470.85
"ENVERUS, INC.",212258.0
"SAYARI ANALYTICS, LLC",208252.76
GENCO SYSTEMS INC,208080.0
"OXFORD INSTRUMENTS AMERICA, INC.",204755.0
"HANKINS GROUP, INC.",202534.94
"THE OTTERY GROUP, INC",198854.36
GABRIEL FERNANDEZ,194616.0
SIEMENS INDUSTRY INC,183630.42
"POTOMACWAVE CONSULTING, INC.",181000.0
ATI GOVERNMENT SOLUTIONS LLC,180000.0
IZZAT M IDRISS,179720.0
"CORBROOK, LLC",177010.99
UNISON VIRTUAL ACQUISITION OFFICE LLC,176544.91
RICOH USA INC,174726.56
NORTHERN TRUCK EQUIPMENT CORPORATION,172660.0
"DOYON TECHNICAL SERVICES, LLC",169089.79
COUNTY OF AUGUSTA-RICHMOND,165720.69
THE FILA GROUP LLC,165450.0
RURAL ELECTRIC SUPPLY COOPERATIVE,161864.1
JOSEPH B. SCHROEDER,160000.0
LESKCA INCORPORATED,159792.8
"CASEPOINT, LLC",155800.0
RELX INC,153708.0
NASSAU ELECTRICAL SUPPLY CORP,151183.0
ARCHETYPE I LLC,150138.99
"OIL PRICE INFORMATION SERVICE, LLC",141873.31
ABSG CONSULTING INC,140000.0
AE WORKS LTD,139397.63
GOVERNMENT SCIENTIFIC SOURCE INC,138108.45
"WHITE BEAR CONSTRUCTION, INC.",137164.55
ATT MOBILITY LLC,134611.02
"ALL AMERICAN TRAILER CONNECTION ,INC.",133297.76
"HOPEWELL DESIGNS, INC.",131600.0
ABT GLOBAL LLC,130460.7
STERLING COMPUTERS CORPORATION,130262.19
OPEN SYSTEMS INTERNATIONAL INC,130260.17
"CHEROKEE NATION INTEGRATED HEALTH, L.L.C.",129128.96
IHS GLOBAL INC,128720.5
TEVET LLC,126493.99
DISTRIBUTED TECHNOLOGY GROUP LLC,125848.93
"ABACO STRATEGY, LLC",124870.05
PITCHBOOK DATA INC,124799.01
"TATTERSALL SUPPLY, LLC",123600.0
"MANOLIS PAINTING, INC.",122100.0
"ANACAPA MICRO PRODUCTS, INC.",120560.52
ASPEN ENVIRONMENTAL GROUP,120433.0
"GARTEN SERVICES, INC.",120000.0
CLIFFORD CHANCE US LLP,119950.0
KPLER INC,119081.45
HERITAGE INTERIORS LLC,118862.7
CEM CORPORATION,117844.16
"BOOTH MANAGEMENT CONSULTING, LLC",114210.55
BENCHMARK MINERAL INTELLIGENCE LIMITED,114000.0
"TEAL, LLC",112800.0
"GREY STREET CONSULTING, LLC",111722.64
MCP COMPUTER PRODUCTS INC,111508.1
"ROYAL SWITCHGEAR MANUFACTURING COMPANY, LLC",111018.45
BLOOMBERG FINANCE LP,110507.8
LEICA MICROSYSTEMS INC.,110490.74
"EARLE KINLAW & ASSOCIATES, INC.",110358.89
SYSTEMATIC MANAGEMENT SERVICES INC.,110329.93
"AMAZON WEB SERVICES, INC.",107825.94
YIN ZHOU,106800.0
RTO INSIDER LLC,101420.64
DOW JONES & CO INC,100427.0
BRUCE DIAMOND,100000.0
"DB TECHNOLOGIES, LLC",100000.0
MONONGAHELA POWER COMPANY,100000.0
STATELINE SOLUTION LLC,99925.68
NEW RIVER SYSTEMS CORPORATION,99060.0
DIGITAL PLAZA LLC,95830.0
"ACE FEDERAL REPORTERS, INC.",95632.0
GLOBAL MIRACLE SOLUTIONS LLC,94000.0
"VETERAN CLINICAL SOLUTIONS, LLC",93446.18
"ATLANTIC DIVING SUPPLY, INC.",92340.09
"HITT CONTRACTING, INC.",91426.0
"HETRODYNE, LLC",90000.0
GOCRAFTS LLC,87867.0
NEXUS POWER SOLUTIONS LLC,87555.44
AGILENT TECHNOLOGIES INC,85578.0
CELLCO PARTNERSHIP,85261.9
PEOPLES NATURAL GAS COMPANY LLC,85000.0
FIRSTENERGY PENNSYLVANIA ELECTRIC COMPANY,85000.0
"SHORT POWERLINE SERVICE, LLC",83538.18
CDW GOVERNMENT LLC,83256.54000000001
"OMNI BUSINESS SYSTEMS, INC",82859.56
"GENSCAPE, INC.",82288.0
BRANCH MEDICAL LLC,81636.36
RED HERITAGE MEDIA LLC,80663.35
CARNEGIE MELLON UNIVERSITY,80000.0
"SCELZI ENTERPRISES, INC",79634.0
BEAR COMMUNICATIONS INC,78460.2
"DTN, LLC",77011.0
ENERGY RESOURCES INTERNATIONAL INC,75000.0
CITY OF ELBERTON,72400.0
GOVCONNECTION INC,72095.34
"ATLANTIC COUNCIL OF THE UNITED STATES, INC. (THE)",71325.0
EVENSONBEST LLC,70107.21
"INSEQUENCE, INC.",69749.97
ALVAREZ LLC,69000.0
HAVERLY SYSTEMS INC,68030.0
ALLIUM US HOLDING LLC,66389.29
"CSX TRANSPORTATION, INC",65564.0
"ENERGYSOLUTIONS SERVICES, INC.",65298.28
TPGI CPA PLLC,65281.76
PARR INSTRUMENT COMPANY,63700.0
"REDHAWK IT SOLUTIONS, LLC",63422.28
MAYOINTHEMIX LLC,62219.01
JTF BUSINESS SYSTEMS CORPORATION,62193.6
"CTG FEDERAL, LLC",62014.16
SOCIAL NAVIGATOR INC,62000.0
"DEEP WEB TECHNOLOGIES, INC.",61200.0
"MIRION TECHNOLOGIES (CANBERRA), INC.",61047.0
"ALAMO CITY ENGINEERING SERVICES, INC.",60814.0
VCLOUD GOV INC.,59432.28
S&P GLOBAL MARKET INTELLIGENCE LLC,58345.0
"NATIONAL CONDUCTOR, INC.",56977.07
"GOLDEN SVCS, LLC",56883.32
"RARESTEP, INC.",56790.0
"WESTWIND COMPUTER PRODUCTS, INC.",56522.630000000005
DOUGLASS TRUCK BODIES INC,56484.81
"GUEST, STEVEN G",56401.0
UNITED PARCEL SERVICE CO.,55660.2
BRUNNER AEROSPACE LLC,55600.0
CLARIVATE ANALYTICS (US) LLC,55451.81
RLH INC.,55030.0
WRIGGLESWORTH ENTERPRISES INC,54934.08
UNITED SALES ASSOC INC,54705.0
ACCESSAGILITY LLC,54585.0
"RBD INSTRUMENTS, INC",54244.8
"CE2 CORPORATION, INC.",53367.99
"MLINQS, LLC",53031.0
TI VERBATIM CONSULTING INC.,51763.25
"GEM TECHNOLOGY INTERNATIONAL, CORP",51625.0
AANTILIA LLC,50896.21
AURORA SYSTEMS CONSULTING INC,50475.0
GREEN WORLD CONTRACTING CORP,50308.17
"TRUCENTIVE, INC.",50000.0
NEVADA SYSTEM OF HIGHER EDUCATION,50000.0
BRUKER AXS LLC,49874.0
"JB CONTRACTING, INC.",49820.37
"ENVIRONMENTAL RESEARCH GROUP, L.L.C.",49756.91
EXPLORATION ROBOTICS TECHNOLOGIES INC.,49500.0
BARCHART.COM INC,49440.0
"INTELLIGENCE PRESS, INC.",48161.12
THERMO-CALC SOFTWARE INC.,47376.75
"360 PRIVACY, LLC",47375.0
AJ LIAISONS LLC,46400.0
MYRON JORDAN CLEANING SERVICES LLC,45600.0
"J.H. TECHNOLOGIES, INC.",45313.0
THE MILLENNIUM GROUP INT'L LLC,45000.0
"POLITICO, LLC",44790.0
BGRS RELOCATION INC,43818.94
"KELYN TECHNOLOGIES, INC.",41872.69
"VETERAN ELEVATOR INSPECTION SERVICES, LLC",41110.0
"UBER TECHNOLOGIES, INC.",40384.0
SAGE ENERGY TRADING LLC,40000.0
ZEN INNOVATIONS AG,39995.0
CE SOLUTION PLUS CORP.,39300.0
ARKANSAS OKLAHOMA GAS CORPORATION,39147.0
"FIRST DUE CUSTOMS, LLC",38810.24
MACK JANITORIAL & MAINTENANCE,38676.72
"AXELLIANT, LLC",38556.0
"BENTLEY SYSTEMS, INCORPORATED",38275.0
VCLOUD TECH INC,38260.78
"LRP PUBLICATIONS, INC.",38213.0
HARRIS JOSEPH D,37067.56
QUANTICO TACTICAL INCORPORATED,37021.16
POWERWORLD CORP,36344.0
HDT HOLDINGS LLC,36232.69
"IRON BOW TECHNOLOGIES, LLC",36062.13
"DANIEL L. SUN, INC.",36015.52
NIKIRA LABS INC.,35860.0
"NATIVE SOURCE ENTERPRISES, LLC",35450.0
EATON CORPORATION,35139.6
"VINDICATOR TECHNOLOGIES, INC.",35022.38
"AGAPE ENCOUNTERS, LLC",34720.0
"THE BOARDROOM, LLC",34440.0
VETERAN TECHNOLOGY PARTNERS LLC,34389.31
OKLAHOMA GAS AND ELECTRIC COMPANY,34256.0
THE COBUILDERS LLC,34200.0
"CQ-ROLL CALL, INC",33750.0
INTELLIGENT DEVICES LLC,33450.0
"WILLIAM S. HEIN & CO., INC.",32445.0
NEWSWISE INC,32000.0
EVALUATE ENERGY LIMITED,31508.96
FIS CAPITAL MARKETS US LLC,31500.0
"TRACKER PRODUCTS, LLC",31255.9
PORT OF PORT ARTHUR,30000.0
SERVCO INC.,30000.0
"NEWLINENOOSH, INC.",29995.0
"PANAMERICA COMPUTERS, INC.",29758.0
"MATTRACKS, INC.",28430.74
BLOOMBERG LP,28370.0
"CONVERGE FEDERAL SOLUTIONS JV, LLC",27822.05
TECH SERVICE SOLUTIONS LLC,27672.24
PORTSIDE INC,27494.52
"PROJECT SERVICES GROUP, LLC",26884.2
"MELWOOD HORTICULTURAL TRAINING CENTER, INC.",26827.96
BLACKSTAR DIVERSIFIED ENTERPRISES LIMITED LIABILITY COMPANY,26688.0
"REVVITY HEALTH SCIENCES, INC.",26683.68
"POWERGEM, LLC",26392.5
"GRANITE TELECOMMUNICATIONS, LLC",26017.47
"RENOWN CARGO TRAILERS, LLC",25989.6
TOMMYLEE CAPITAL LLC,25813.0
"QUALITY ELEVATOR CO., LLC",25800.0
PEELE INC,25500.0
"WESTEX GROUP, INC",24490.79
"THE WINVALE GROUP, LLC",24468.27
TA INSTRUMENTS - WATERS L.L.C.,22785.0
"SUPPLYSOURCE DC, LLC",22716.859999999993
"DILO COMPANY, INC",22694.6
ARCHITECHTURE SOLUTIONS LLC,22530.0
ALLTRICITY NETWORK,22500.0
TRAINING CENTER PROS INC,22443.55
CAPITAL ECONOMICS (N.A.) LIMITED,22376.4
BLACK GOLD INDUSTRIES,22181.12
"INTEGRATION TECHNOLOGIES GROUP, INC.",21127.62
SCL HOLDINGS INC,21120.0
"L3HARRIS TECHNOLOGIES, INC.",21050.0
MORGAN INGLAND LLC,20194.31
MIKE GLASMAN,20000.0
US ECOLOGY WASHINGTON INC,19800.0
REGAN TECHNOLOGIES CORP,19644.89
CONTROLLED F.O.R.C.E INC.,19450.62
3DB LABS INC,18200.0
ANALYTIC ADVANTAGE INC,18092.0
"INSIGHT PUBLIC SECTOR, INC.",17767.0
INDEPENDENT HARDWARE INC,17471.0
GEOTEK LIMITED,16520.5
CENTRE FIREARMS CO INC,16208.0
DIVERSIFIED PROTECTION CORP,16000.0
"RESEARCH ELECTRONICS INTERNATIONAL, L.L.C.",15595.0
GRAHAM INC.,15565.23
"AARCHER, INC.",15502.2
"ECO-SHRED, LLC",15440.0
CHARTER COMMUNICATIONS OPERATING LLC,15300.0
"CHEM-NUCLEAR SYSTEMS, L.L.C",15126.48
PIKE NATURAL GAS CO,15000.0
QUALITY SYSTEMS APPLICATIONS INC,15000.0
CEDIGAZ,14880.0
